City,Hotel_Name,Price_DZD,Rating_Out_of_10,Reviews_Count,Latitude,Longitude,Facilities,URL
Oran,Residence sunset akid lotfi,100000.0,9.0,1,35.72470819,-0.59031253,Free Wifi | Private Parking,https://www.booking.com/hotel/dz/residence-sunset-akid-lotfi.html
Oran,Satisfaction Assurée 2-2,54000.0,N/A,0,35.75247269,-0.54767341,Non-smoking rooms | Free Wifi | Free parking | Family rooms,https://www.booking.com/hotel/dz/votre-satisfaction-notre-desir.html
Oran,Hotel Oran Bay Managed By Accor,191000.0,7.2,26,35.71445304,-0.61157048,Spa | Family rooms | 2 swimming pools | Non-smoking rooms | Breakfast | Bar | Airport shuttle (free) | Free parking | Fitness center | Room service,https://www.booking.com/hotel/dz/sheraton-oran-towers.html
Oran,LE PALME HOTEL,76500.0,8.9,625,35.68510917,-0.64677233,Family rooms | Non-smoking rooms | Free Wifi | Wonderful Breakfast | Facilities for disabled guests | Airport shuttle | Tea/Coffee Maker in All Rooms | Restaurant | Free parking | Room service,https://www.booking.com/hotel/dz/le-palme.html
Oran,Appartement lux vue sur mer,100000.0,9.8,9,35.71448082,-0.61755052,Free Wifi | Free parking,https://www.booking.com/hotel/dz/appartement-lux-vue-sur-mer.html
Oran,Le cheval blanc,31500.0,7.1,146,35.70030400,-0.63787900,Non-smoking rooms | Free Wifi | Very Good Breakfast | Family rooms,https://www.booking.com/hotel/dz/le-cheval-blanc-oran.html
Oran,Calypso Home Oran,41650.0,8.6,187,35.74719800,-0.77004900,Non-smoking rooms | Free Wifi | Breakfast | Restaurant | Tea/Coffee Maker in All Rooms | Airport shuttle (free) | Free parking | Room service,https://www.booking.com/hotel/dz/calypso-home.html
Oran,ibis Oran les Falaises,44888.0,6.2,364,35.71499138,-0.61435461,Non-smoking rooms | Free Wifi | Breakfast | Facilities for disabled guests | Bar | Restaurant | Free parking,https://www.booking.com/hotel/dz/ibis-oran-les-falaises.html
Oran,superbe appartement F3 - 80m2,39360.0,8.4,5,35.70471964,-0.55503132,Free Wifi | Private Parking | Family rooms,https://www.booking.com/hotel/dz/superbe-appartement-f3-80m2.html
Oran,Hôtel al-ksar,40000.0,6.0,6,35.70439341,-0.63575950,Family rooms | Free Wifi | Free parking | Breakfast | Room service,https://www.booking.com/hotel/dz/al-ksar.html
Oran,Charmant F3 dans résidence fermée,33840.0,9.7,9,35.72675710,-0.57823088,Free Wifi | Family rooms,https://www.booking.com/hotel/dz/charmant-f3-dans-residence-fermee.html
Annaba,Hotel Sabri,85000.0,1.0,4,36.95214420,7.77647170,Breakfast | Free parking,https://www.booking.com/hotel/dz/sabri-annaba1.html
Annaba,MAJESTIC Hotel Annaba,57375.0,6.3,9,36.90460290,7.76026900,Breakfast | Free parking,https://www.booking.com/hotel/dz/majestic-annaba.html
Annaba,Adel Summer Annaba,45900.0,8.1,10,36.91796569,7.75211247,N/A,https://www.booking.com/hotel/dz/adel-summer-annaba.html
Annaba,Sheraton Annaba Hotel,130000.0,8.0,58,36.90189200,7.76139600,Outdoor swimming pool | Non-smoking rooms | Breakfast | Facilities for disabled guests | Airport shuttle | Bar | Tea/Coffee Maker in All Rooms | Free parking | Fitness center | Room service,https://www.booking.com/hotel/dz/sheraton-annaba.html
Annaba,Hotel D'orient,53550.0,3.8,5,36.89922740,7.76052010,Breakfast | Free parking,https://www.booking.com/hotel/dz/d-orient.html
Annaba,Dar Andalous,108225.0,N/A,0,36.93391130,7.76361510,Family rooms | Outdoor swimming pool | Non-smoking rooms | Free Wifi | Free parking,https://www.booking.com/hotel/dz/dar-andalous-annaba2.html
Annaba,La perle de Annaba,45000.0,N/A,0,36.90585010,7.74413190,Free Wifi | Family rooms,https://www.booking.com/hotel/dz/la-perle-de-annaba.html
Annaba,Rym El Djamil Hotel,27767.0,6.7,3,36.95214420,7.77647170,Breakfast | Free parking,https://www.booking.com/hotel/dz/rym-el-djamil-annaba.html
Annaba,Panoramic View apartment Seraidi Annaba,75000.0,N/A,0,36.91379673,7.67170708,Private beach area | Free Wifi | Free parking,https://www.booking.com/hotel/dz/panoramic-view-apartment-seraidi-annaba.html
Annaba,Dar El Emir,75000.0,9.5,4,36.93247455,7.75049753,Private beach area | Free Wifi | Free parking | Family rooms,https://www.booking.com/hotel/dz/dar-el-emir-annaba.html
Annaba,Grande terrasse & BBQ Annaba,48000.0,N/A,0,36.91094959,7.76245084,Free parking,https://www.booking.com/hotel/dz/beausejour-nb.html
Constantine,Dortoir 25 Constantine,22275.0,8.4,74,36.36777062,6.61252986,Breakfast,https://www.booking.com/hotel/dz/dortoir-25-constantine.html
Constantine,Dortoir ily,112500.0,N/A,0,36.37447530,6.62721070,Free Wifi | Free parking | Breakfast,https://www.booking.com/hotel/dz/dortoir-ily.html
